nbexp,compil-option,type,result
10000,,float,0.7536
10000,,long double,0.7859
10000,,double,0.7379
10000,-O2 -ffloat-store -fno-fast-math,float,0.7467
10000,-O2 -ffloat-store -fno-fast-math,long double,0.7878
10000,-O2 -ffloat-store -fno-fast-math,double,0.7533
1000,,float,0.754
1000,,long double,0.811
1000,,double,0.749
1000,-O2 -ffloat-store -fno-fast-math,float,0.726
1000,-O2 -ffloat-store -fno-fast-math,long double,0.811
1000,-O2 -ffloat-store -fno-fast-math,double,0.763
1000,,float,0.724
1000,,long double,0.796
1000,,double,0.763
1000,-O2 -ffloat-store -fno-fast-math,float,0.749
1000,-O2 -ffloat-store -fno-fast-math,long double,0.789
1000,-O2 -ffloat-store -fno-fast-math,double,0.743
100000,,float,0.74463
100000,,long double,0.7849
100000,,double,0.74379
100000,-O2 -ffloat-store -fno-fast-math,float,0.74861
100000,-O2 -ffloat-store -fno-fast-math,long double,0.7849
100000,-O2 -ffloat-store -fno-fast-math,double,0.74544
100000,,float,0.74714
100000,,long double,0.78538
100000,,double,0.74544
100000,-O2 -ffloat-store -fno-fast-math,float,0.74679
100000,-O2 -ffloat-store -fno-fast-math,long double,0.78527
100000,-O2 -ffloat-store -fno-fast-math,double,0.74379
